Time,Velocity
0.0,0.16333334147930145
0.016666666666666666,0.3266666829586029
0.03333333333333333,0.49000003933906555
0.05,0.6533333659172058
0.06666666666666667,0.8166666030883789
0.08333333333333333,0.9799998998641968
0.1,1.1433331966400146
0.11666666666666667,1.3066664934158325
0.13333333333333333,1.46999990940094
0.15,1.633333444595337
0.16666666666666666,1.7966668605804443
0.18333333333333332,1.9600002765655518
0.2,2.123333692550659
0.21666666666666667,2.2866671085357666
0.23333333333333334,2.450000524520874
0.25,2.6133339405059814
0.26666666666666666,2.7766671180725098
0.2833333333333333,2.940000295639038
0.3,3.1033334732055664
0.31666666666666665,3.2666664123535156
0.3333333333333333,3.429999589920044
0.35,3.5933327674865723
0.36666666666666664,3.7566659450531006
0.38333333333333336,3.91999888420105
0.4,4.083332061767578
0.4166666666666667,4.2466654777526855
0.43333333333333335,4.409998416900635
0.45,4.573331356048584
0.4666666666666667,4.736664772033691
0.48333333333333334,4.899997711181641
0.5,5.06333065032959
0.5166666666666667,5.2266645431518555
0.5333333333333333,5.389997959136963
0.55,5.5533318519592285
0.5666666666666667,5.716665744781494
0.5833333333333334,5.879999160766602
0.6,6.043333053588867
0.6166666666666667,6.206666946411133
0.6333333333333333,6.37000036239624
0.65,6.533334255218506
0.6666666666666666,6.6966681480407715
0.6833333333333333,6.860001564025879
0.7,7.0233354568481445
0.7166666666666667,7.18666934967041
0.7333333333333333,7.350002765655518
0.75,7.513336658477783
0.7666666666666667,6.21190071105957
0.7833333333333333,4.675445079803467
0.8,0.2489095835434454
0.8166666666666667,0.258342132228285
0.8333333333333334,0.2718462321185176
0.85,0.2774684209753667
0.8666666666666667,0.27631731162982054
0.8833333333333333,0.2699348563879963
0.9,0.25972260127486496
0.9166666666666666,0.2468748107291243
0.9333333333333333,0.23233504302871963
0.95,0.21685279963362936
0.9666666666666667,0.20099867912353342
0.9833333333333333,0.18519861478892483
1.0,0.16976517912149316
1.0166666666666666,0.1549266204671484
1.0333333333333334,0.1408315589933989
1.05,0.12757277199217523
1.0666666666666667,0.11520475187506173
1.0833333333333333,0.10374417261139303
1.1,0.09318977736869678
1.1166666666666667,0.083520070868769
1.1333333333333333,0.07469429858499409
1.15,0.06667860209770628
1.1666666666666667,0.059417463996978205
1.1833333333333333,0.05286158022971569
1.2,0.046959969053485685
1.2166666666666666,0.04165778588953865
1.2333333333333334,0.03690808813173486
1.25,0.032661149006965484
1.2666666666666666,0.028870389862759947
1.2833333333333334,0.025492505508004276
1.3,0.022488162949423178
1.3166666666666667,0.019821645692851556
1.3333333333333333,0.017452790132388662
1.35,0.01535596351430366
1.3666666666666667,0.013499812407776242
1.3833333333333333,0.011859504037718516
1.4,0.010411140658723325
1.4166666666666667,0.009133779142256692
1.4333333333333333,0.008009272622895162
1.45,0.00701831830076816
1.4666666666666666,0.006146159008457493
1.4833333333333334,0.005380796158066476
1.5,0.004707566630218501
1.5166666666666666,0.004116892180329405
1.5333333333333334,0.0035980030540798975
1.55,0.0031446625692877982
1.5666666666666667,0.0027462366241673294
1.5833333333333333,0.0023978139575635596
1.6,0.002093193723539909
1.6166666666666667,0.0018256342921305195
1.6333333333333333,0.0015927070444679882
1.65,0.0013888769213345556
1.6666666666666667,0.001210863375206778
1.6833333333333333,0.0010550560959699932
1.7,0.0009197617557923691
1.7166666666666666,0.0008009635974828989
1.7333333333333334,0.0006965257377090527
1.75,0.0006069349925876786
1.7666666666666666,0.0
1.7833333333333334,0.00012362135649955533
1.8,0.00016570874634803967
1.8166666666666667,0.00019322135787425035
1.8333333333333333,0.00021012913977639243
1.85,0.000216413663139792
1.8666666666666667,0.0002177769205043662
1.8833333333333333,0.00021361861057890845
1.9,0.00020698073374903397
1.9166666666666667,0.00019658548061178395
1.9333333333333333,0.00018565585567489358
1.95,0.00017411607984564617
1.9666666666666666,0.0001611267687443209
1.9833333333333334,0.00014872858364302046
2.0,0.00013696939768154302
2.0166666666666666,0.00012460975292668698
2.033333333333333,0.00011403315949423176
2.05,0.00010254108476670819
2.066666666666667,9.42820431214439e-05
2.0833333333333335,8.460223492535357e-05
2.1,7.506537985292273e-05
2.1166666666666667,6.80079018993806e-05
2.1333333333333333,6.0406910646142306e-05
2.15,5.517130239394086e-05
2.1666666666666665,4.911531695927813e-05
2.183333333333333,0.0
2.2,1.1179276148769586e-05
2.216666666666667,1.6394317546744568e-05
2.2333333333333334,1.8740566592361618e-05
2.25,1.9932485064133288e-05
2.2666666666666666,2.010426631736616e-05
2.283333333333333,2.000893311768684e-05
2.3,2.0189842815242407e-05
2.316666666666667,2.0571383878464288e-05
2.3333333333333335,2.0065702455864732e-05
2.35,1.879734048968011e-05
2.3666666666666667,1.7080777289152408e-05
2.3833333333333333,1.5392813309975093e-05
2.4,1.5049374527095087e-05
2.4166666666666665,1.4372177082851448e-05
2.433333333333333,1.2140524709381041e-05
2.45,1.1244141930836417e-05
2.466666666666667,1.0347827277375924e-05
2.4833333333333334,1.0013748198361759e-05
2.5,7.953903613392643e-06
2.5166666666666666,0.23216403081253778
2.533333333333333,0.6817078570273022
2.55,1.117117240663576
2.566666666666667,1.5384226889012016
2.5833333333333335,1.9100809478287848
2.6,2.2534947938755274
2.6166666666666667,2.5046413596664467
2.6333333333333333,2.6459363367812005
2.65,2.8293642578070064
2.6666666666666665,2.952359980347428
2.683333333333333,3.0651038043040124
2.7,3.172364630885262
2.716666666666667,3.2534693164132085
2.7333333333333334,3.2670666762950327
2.75,3.4273423133517165
2.7666666666666666,3.463242548032705
2.783333333333333,3.478670501358314
