Time,Distance,Setpoint
7.083333333333333,61.322513580322266,15.0
7.1,61.46222653913498,15.0
7.116666666666666,61.6019394979477,15.0
7.133333333333334,61.74165245676041,15.0
7.15,61.88136541557313,15.0
7.166666666666667,62.021078374385844,15.0
7.183333333333334,62.16079133319856,15.0
7.2,62.300504292011276,15.0
7.216666666666667,62.44021725082399,15.0
7.233333333333333,62.57993020963671,15.0
7.25,62.71964316844942,15.0
7.266666666666667,62.85935612726214,15.0
7.283333333333333,62.999069086074854,15.0
7.3,63.13878204488757,15.0
7.316666666666666,63.278495003700286,15.0
7.333333333333333,60.62888717651367,15.0
7.35,60.75565276765823,15.0
7.533333333333333,59.5434455871582,15.0
7.55,59.64733870601654,15.0
7.566666666666666,59.75123182487488,15.0
7.583333333333333,59.855124943733216,15.0
7.6,59.959018062591554,15.0
7.616666666666666,60.06291118144989,15.0
7.633333333333334,60.16680430030823,15.0
7.65,60.27069741916657,15.0
7.666666666666667,60.374590538024904,15.0
7.683333333333334,60.47848365688324,15.0
7.7,60.58237677574158,15.0
8.316666666666666,58.619407653808594,15.0
8.333333333333334,58.70823323392868,15.0
8.35,58.79705881404877,15.0
8.366666666666667,58.885884394168855,15.0
8.383333333333333,58.97470997428894,15.0
8.4,59.06353555440903,15.0
8.416666666666666,59.152361134529116,15.0
8.433333333333334,59.2411867146492,15.0
8.45,59.33001229476929,15.0
8.466666666666667,59.41883787488938,15.0
8.483333333333333,59.507663455009464,15.0
8.5,59.59648903512955,15.0
8.516666666666667,59.68531461524964,15.0
8.533333333333333,59.774140195369725,15.0
8.55,59.86296577548981,15.0
8.566666666666666,59.9517913556099,15.0
8.583333333333334,60.040616935729986,15.0
8.6,60.12944251585007,15.0
8.616666666666667,60.21826809597016,15.0
8.633333333333333,60.30709367609025,15.0
8.65,60.395919256210334,15.0
8.666666666666666,60.48474483633042,15.0
8.683333333333334,60.57357041645051,15.0
8.7,60.662395996570595,15.0
8.716666666666667,60.75122157669068,15.0
8.733333333333333,60.84004715681077,15.0
8.75,60.928872736930856,15.0
8.766666666666667,61.01769831705094,15.0
8.783333333333333,61.10652389717103,15.0
8.8,56.318782806396484,15.0
8.816666666666666,56.416856080293655,15.0
8.833333333333334,56.514929354190826,15.0
8.85,56.613002628088,15.0
8.866666666666667,56.71107590198517,15.0
8.883333333333333,56.80914917588234,15.0
8.9,56.90722244977951,15.0
8.916666666666666,57.00529572367668,15.0
9.166666666666666,55.564056396484375,15.0
9.183333333333334,55.653534060955046,15.0
9.2,55.74301172542572,15.0
9.216666666666667,55.83248938989639,15.0
9.233333333333333,55.92196705436706,15.0
9.25,56.01144471883773,15.0
9.266666666666667,56.1009223833084,15.0
9.283333333333333,56.19040004777907,15.0
9.3,56.27987771224974,15.0
9.316666666666666,56.369355376720414,15.0
9.333333333333334,56.458833041191085,15.0
9.35,56.548310705661756,15.0
9.366666666666667,56.63778837013243,15.0
9.383333333333333,56.7272660346031,15.0
9.4,56.81674369907377,15.0
10.833333333333334,49.50821304321289,15.0
10.85,49.662908552646634,15.0
10.866666666666667,49.81760406208038,15.0
10.883333333333333,49.97229957151412,15.0
10.9,49.3757209777832,15.0
10.916666666666666,49.53243961668014,15.0
10.933333333333334,49.689158255577084,15.0
10.95,49.845876894474024,15.0
10.966666666666667,50.002595533370965,15.0
10.983333333333333,50.159314172267905,15.0
11.7,45.97057342529297,15.0
11.716666666666667,46.135757233142854,15.0
11.733333333333333,46.30094104099274,15.0
11.75,46.466124848842625,15.0
12.916666666666666,40.08695602416992,15.0
12.933333333333334,40.267860934257506,15.0
13.283333333333333,37.23360824584961,15.0
13.3,37.41410917520523,15.0
13.433333333333334,36.14930725097656,15.0
13.45,36.32845565605164,15.0
13.466666666666667,36.111183166503906,15.0
13.483333333333333,36.28995413684845,15.0
13.5,35.9697151184082,15.0
13.516666666666667,36.14779029083252,15.0
13.533333333333333,35.29643249511719,15.0
13.55,35.473370312213895,15.0
13.566666666666666,35.6503081293106,15.0
13.583333333333334,35.82724594640731,15.0
13.6,36.00418376350402,15.0
13.616666666666667,36.181121580600724,15.0
13.633333333333333,36.35805939769743,15.0
13.65,36.53499721479414,15.0
13.666666666666666,36.711935031890846,15.0
13.683333333333334,36.88887284898755,15.0
13.7,37.06581066608426,15.0
13.716666666666667,37.24274848318097,15.0
13.733333333333333,37.419686300277675,15.0
13.75,37.59662411737438,15.0
13.766666666666667,37.77356193447109,15.0
13.783333333333333,35.22420120239258,15.0
13.8,35.39074592161179,15.0
13.816666666666666,35.557290640831,15.0
13.833333333333334,35.72383536005021,15.0
13.85,35.89038007926942,15.0
13.866666666666667,36.05692479848863,15.0
13.883333333333333,36.22346951770784,15.0
13.9,36.39001423692705,15.0
13.916666666666666,36.55655895614626,15.0
13.933333333333334,36.72310367536547,15.0
13.95,36.88964839458468,15.0
13.966666666666667,37.05619311380389,15.0
13.983333333333333,34.36000061035156,15.0
14.0,34.522309550762174,15.0
14.016666666666667,34.101783752441406,15.0
14.033333333333333,34.263461379528046,15.0
14.05,34.425139006614685,15.0
14.066666666666666,34.586816633701325,15.0
14.083333333333334,34.748494260787965,15.0
14.5,30.735013961791992,15.0
14.516666666666667,30.884414338588716,15.0
14.533333333333333,31.03381471538544,15.0
14.55,31.183215092182163,15.0
14.566666666666666,31.332615468978886,15.0
14.583333333333334,31.48201584577561,15.0
14.6,31.631416222572334,15.0
14.616666666666667,31.780816599369057,15.0
14.633333333333333,31.93021697616578,15.0
14.65,32.0796173529625,15.0
14.666666666666666,32.22901772975922,15.0
